,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
35,mnasnet0_5,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_mnasnet0_5.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.25382,3.942249141361361,0.8958347766530682,0.7372834938474568,,0,,imagenet,imagenet_c_fog_3,Neural Network
36,mnasnet1_0,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_mnasnet1_0.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.35308,3.1811626561770496,0.799478406757558,0.6587466668289141,,0,,imagenet,imagenet_c_fog_3,Neural Network
37,mobilenet_v2,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_mobilenet_v2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.31884,3.372605443174225,0.8245654772073333,0.7085056598989505,,0,,imagenet,imagenet_c_fog_3,Neural Network
38,nasnetalarge,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_nasnetalarge.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.64406,1.712444446807516,0.49400753984139284,0.43676386371329645,,0,,imagenet,imagenet_c_fog_3,Neural Network
39,nasnetamobile,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_nasnetamobile.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.44824,2.73607571815273,0.6983763113102157,0.6255455090028383,,0,,imagenet,imagenet_c_fog_3,Neural Network
40,pnasnet5large,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_pnasnet5large.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.63976,1.7725558645066406,0.4909502157546671,0.5099352849911022,,0,,imagenet,imagenet_c_fog_3,Neural Network
41,polynet,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_polynet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.54106,2.2294142494186824,0.6154040157520067,0.42052231465281453,,0,,imagenet,imagenet_c_fog_3,Neural Network
42,resnet101,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_resnet101.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.47114,2.4831197718926123,0.6752236547509086,0.5423806220013947,,0,,imagenet,imagenet_c_fog_3,Neural Network
43,resnet152,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_resnet152.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.47672,2.478277346066246,0.6698245376869316,0.536483748907224,,0,,imagenet,imagenet_c_fog_3,Neural Network
44,resnet18,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_resnet18.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.3378,3.2255657715162016,0.796782866526959,0.7219112632832236,,0,,imagenet,imagenet_c_fog_3,Neural Network
